text;label
В адрес Вашего Банка обращаемся с официальной жалобой на нарушение условий договора №БС-1456 от 15.03.2023. Согласно пункту 4.2 указанного договора, мы обязаны быть уведомлены о любых списаниях со счёта. Однако 10.04.2023 с нашего счёта было произведено списание без предварительного уведомления. Требуем немедленного разъяснения и возврата средств в течение 3 рабочих дней.;Официальная жалоба или претензия
Обращаемся с претензией по поводу отказа в проведении операции по счёту №123456789. Согласно условиям договора на РКО, банк обязан проводить операции в пределах доступных средств. 15.04.2023 на счёте были доступны средства для проведения операции, однако она была отклонена без объяснения причин. Просим предоставить разъяснение и устранить нарушение в течение 24 часов.;Официальная жалоба или претензия
Настоящим направляем официальную жалобу на двойное списание средств со счёта №123456789. 10.04.2023 с нашего счёта было произведено списание на сумму 10 000 рублей, а 15.04.2023 — ещё одно списание на ту же сумму. Согласно условиям договора на РКО, такие действия являются нарушением. Требуем немедленного разъяснения и возврата ошибочно списанных средств в течение 3 рабочих дней.;Официальная жалоба или претензия
Обращаемся с претензией по поводу ошибочного блокирования нашего зарплатного проекта. Согласно условиям зарплатного проекта, банк обязан информировать о любых блокировках. Однако 15.04.2023 наш зарплатный проект был заблокирован без предварительного уведомления. Требуем немедленного разъяснения и снятия блокировки в течение 24 часов.;Официальная жалоба или претензия
В адрес Вашего Банка обращаемся с официальной жалобой на нарушение условий договора №БС-1456 от 15.03.2023. Согласно пункту 5.1 указанного договора, банк обязан информировать клиента о любых изменениях в условиях обслуживания. Однако 15.04.2023 мы узнали об изменении комиссии за обслуживание счёта из сторонних источников. Требуем немедленного разъяснения и предоставления информации о причинах изменения комиссии в течение 3 рабочих дней.;Официальная жалоба или претензия
Обращаемся с претензией по поводу неверного информирования о состоянии счёта. Согласно условиям договора на РКО, банк обязан предоставлять точную информацию о состоянии счёта. Однако 15.04.2023 в интернет-банке была указана неверная сумма на счёте. Требуем немедленного разъяснения и исправления ошибки в течение 24 часов.;Официальная жалоба или претензия
В адрес Вашего Банка обращаемся с официальной жалобой на нарушение условий договора №БС-1456 от 15.03.2023. Согласно пункту 6.2 указанного договора, банк обязан обрабатывать платежи в течение 24 часов. Однако платёж, отправленный 15.04.2023, был обработан только 18.04.2023. Требуем немедленного разъяснения и компенсации за задержку в обработке платежа в течение 3 рабочих дней.;Официальная жалоба или претензия
Обращаемся с претензией по поводу отказа в выдаче выписки по счёту. Согласно условиям договора на РКО, банк обязан предоставлять выписки по запросу клиента. Однако 15.04.2023 наша заявка на выдачу выписки была отклонена без объяснения причин. Требуем немедленного разъяснения и предоставления выписки в течение 24 часов.;Официальная жалоба или претензия
В адрес Вашего Банка обращаемся с официальной жалобой на нарушение условий договора №БС-1456 от 15.03.2023. Согласно пункту 7.1 указанного договора, банк обязан информировать клиента о любых изменениях в тарифах. Однако 15.04.2023 мы узнали об изменении тарифов из сторонних источников. Требуем немедленного разъяснения и предоставления информации о причинах изменения тарифов в течение 3 рабочих дней.;Официальная жалоба или претензия
Обращаемся с претензией по поводу отказа в проведении валютной операции. Согласно условиям договора на валютные операции, банк обязан проводить операции в пределах доступных средств. 15.04.2023 на счёте были доступны средства для проведения операции, однако она была отклонена без объяснения причин. Требуем немедленного разъяснения и устранения нарушения в течение 24 часов.;Официальная жалоба или претензия
На основании п. 3.1 Инструкции Банка России № 123/2025 просим предоставить информацию о структуре кредитного портфеля физических лиц за IV квартал 2024 года не позднее 31 января 2025 года.;Регуляторный запрос
В соответствии с Указанием Банка России № 58-У от 10.04.2024 обращаемся с просьбой предоставить данные о сделках с признаками подозрительной активности за I квартал 2025 года до 30 апреля 2025 года включительно.;Регуляторный запрос
На основании п. 2.4 Указания Банка России № 03-11-25/00876 просим предоставить отчёт о просроченной задолженности по кредитам юридических лиц за III квартал 2024 года не позднее 30 октября 2024 года.;Регуляторный запрос
В соответствии со статьёй 7 Федерального закона № 115-ФЗ от 07.08.2001 обращаемся с просьбой предоставить информацию о клиентах с высоким уровнем риска за IV квартал 2024 года до 31 января 2025 года включительно.;Регуляторный запрос
На основании п. 5.2 Указания Банка России № 123/2025 просим предоставить данные о валютных операциях с нерезидентами за II квартал 2024 года не позднее 30 июня 2024 года.;Регуляторный запрос
В соответствии с п. 3.3 Инструкции Банка России № 03-11-25/00876 обращаемся с просьбой предоставить отчёт о структуре депозитов физических лиц за III квартал 2024 года до 30 октября 2024 года включительно.;Регуляторный запрос
На основании п. 4.1 Указания Банка России № 58-У от 10.04.2024 просим предоставить информацию о сделках с признаками подозрительной активности за I квартал 2025 года не позднее 31 марта 2025 года.;Регуляторный запрос
В соответствии с п. 2.1 Указания Банка России № 123/2025 обращаемся с просьбой предоставить отчёт о просроченной задолженности по кредитам физических лиц за IV квартал 2024 года не позднее 31 января 2025 года.;Регуляторный запрос
На основании п. 3.5 Инструкции Банка России № 03-11-25/00876 просим предоставить данные о валютных операциях с нерезидентами за III квартал 2024 года не позднее 30 октября 2024 года.;Регуляторный запрос
В соответствии со статьёй 7 Федерального закона № 115-ФЗ от 07.08.2001 обращаемся с просьбой предоставить информацию о клиентах с высоким уровнем риска за II квартал 2024 года до 30 июня 2024 года включительно.;Регуляторный запрос
Уважаемые коллеги! Предлагаем вам сотрудничество в рамках запуска кобрендинговой карты с эксклюзивными привилегиями для премиальных клиентов. Это позволит укрепить позиции банка на рынке премиальных услуг и привлечь новую аудиторию. Готовы обсудить детали и разработать выгодные условия сотрудничества.;Партнёрское предложение
В адрес вашего Банка обращаемся с предложением о партнёрстве в сфере образовательных проектов. Мы готовы разработать и провести серию вебинаров для сотрудников банка по актуальным темам в области финансов и управления. Это поможет повысить квалификацию ваших сотрудников и укрепить имидж банка как центра компетенций. Приглашаем к обсуждению.;Партнёрское предложение
Уважаемый Председатель Правления! Предлагаем вашему банку стать информационным партнёром нашего отраслевого издания. Мы охватываем широкую аудиторию профессионалов финансового сектора и можем предоставить вам уникальные возможности для продвижения ваших продуктов и услуг. Ожидаем от вас обратной связи и обсуждения условий сотрудничества.;Партнёрское предложение
Уважаемые представители банка! Мы, как платёжный агрегатор, предлагаем вам сотрудничество в рамках интеграции наших технологий в ваши сервисы. Это позволит вам расширить возможности для клиентов и повысить удобство использования ваших продуктов. Готовы обсудить детали и разработать взаимовыгодное предложение.;Партнёрское предложение
Добрый день! Предлагаем вашему банку стать партнёром в организации ежегодной конференции для руководителей финансовых учреждений. Это отличная возможность для вашего банка представить свои достижения и укрепить позиции на рынке. Приглашаем вас к обсуждению условий участия.;Партнёрское предложение
В адрес вашего Банка обращаемся с предложением о сотрудничестве в сфере цифрового маркетинга. Мы готовы разработать и реализовать комплексную стратегию продвижения ваших продуктов и услуг в социальных сетях и на других платформах. Это поможет вам привлечь новых клиентов и укрепить позиции на рынке. Приглашаем к обсуждению условий сотрудничества.;Партнёрское предложение
Уважаемые коллеги! Предлагаем вашему банку стать партнёром в запуске специального выпуска нашего журнала, посвящённого инновациям в банковской сфере. Это уникальная возможность для вашего банка представить свои достижения и укрепить позиции на рынке. Приглашаем вас к обсуждению условий сотрудничества.;Партнёрское предложение
Добрый день! Предлагаем вашему банку сотрудничество в рамках разработки и проведения совместных образовательных программ для клиентов. Это поможет вам привлечь новых клиентов и укрепить позиции на рынке. Приглашаем вас к обсуждению условий сотрудничества.;Партнёрское предложение
В адрес вашего Банка обращаемся с предложением о партнёрстве в сфере финансовых технологий. Мы готовы разработать и внедрить инновационные решения для вашего банка, которые помогут вам улучшить качество обслуживания клиентов и укрепить позиции на рынке. Приглашаем вас к обсуждению условий сотрудничества.;Партнёрское предложение
Уважаемые представители банка! Предлагаем вашему банку стать информационным партнёром нашего финансового портала. Мы охватываем широкую аудиторию и можем предоставить вам уникальные возможности для продвижения ваших продуктов и услуг. Ожидаем от вас обратной связи и обсуждения условий сотрудничества.;Партнёрское предложение
"Уважаемый Председатель Правления,

Обращаемся с просьбой о согласовании проведения корпоративного мероприятия для сотрудников банка. Мероприятие запланировано на [дата], программа включает в себя семинары и мастер-классы. К письму прилагаются программа мероприятия и бюджет. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемые коллеги,

Просим согласовать условия сотрудничества с новым партнёром — компанией [название компании]. К письму приложен проект договора и коммерческое предложение. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемый [должность] [ФИО],

Обращаемся с просьбой о согласовании выпуска пресс-релиза о запуске нового банковского продукта. К письму приложен текст пресс-релиза и макет для публикации. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемые коллеги,

Просим согласовать проведение благотворительной акции для поддержки [название НКО]. К письму приложен план акции и бюджет. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемый [должность] [ФИО],

Обращаемся с просьбой о согласовании использования бренда банка в рамках рекламной кампании [название компании]. К письму приложен макет рекламного материала. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемые коллеги,

Просим согласовать условия проведения пилотного проекта по внедрению новой банковской услуги для МСБ. К письму приложен проект регламента проекта и предварительный бюджет. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемый [должность] [ФИО],

Обращаемся с просьбой о согласовании проведения офлайн-конференции для корпоративных клиентов. К письму приложен список спикеров и программа мероприятия. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемые коллеги,

Просим согласовать условия сотрудничества с [название НКО] в рамках благотворительной программы. К письму приложен проект договора и план мероприятий. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемый [должность] [ФИО],

Обращаемся с просьбой о согласовании проведения вебинара для сотрудников [название дочерней компании]. К письму приложен план вебинара и список тем. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
"Уважаемые коллеги,

Просим согласовать условия проведения маркетинговой акции для привлечения новых клиентов. К письму приложен план акции и бюджет. Просим рассмотреть возможность согласования до [дата].

С уважением, [название департамента]";Запрос на согласование
Уважаемые коллеги, информируем вас о том, что с 01.09.2025 изменяются реквизиты нашего банка. Новые реквизиты для проведения платежей: расчётный счёт № 407028101123456789, БИК 044525225. Просим вас актуализировать данные в ваших системах до указанной даты.;Уведомление или информирование
Настоящим уведомляем вас об изменении методики расчёта показателя «Чистая процентная маржа» с 01.10.2025. Новая методика расчёта утверждена в соответствии с Указанием Банка России № 58-У. Просим ознакомиться с изменениями и внести необходимые корректировки в ваши аналитические системы.;Уведомление или информирование
Уважаемые партнёры, информируем вас о запуске нового сервиса — онлайн-платёжной системы. Сервис доступен с 01.11.2025 и позволяет осуществлять мгновенные платежи по реквизитам получателя. Для ознакомления с инструкцией по использованию сервиса перейдите на наш сайт.;Уведомление или информирование
В адрес вашего филиала обращаемся с уведомлением об изменении режима работы нашего контакт-центра. С 01.12.2025 контакт-центр будет работать с 8:00 до 22:00 по московскому времени. Просим вас проинформировать ваших клиентов о новых часах работы.;Уведомление или информирование
Уважаемые клиенты, информируем вас о том, что с 01.01.2026 изменяются тарифы на обслуживание корпоративных карт. Новые тарифы: комиссия за снятие наличных — 2% от суммы операции, но не менее 100 рублей. Просим вас ознакомиться с изменениями и при необходимости скорректировать ваши финансовые планы.;Уведомление или информирование
Настоящим уведомляем вас о внесении изменений в регламент работы нашего call-центра. С 01.02.2026 все обращения клиентов будут обрабатываться в соответствии с новым регламентом, утверждённым в соответствии с внутренними документами банка. Ответ на данное уведомление не требуется.;Уведомление или информирование
Уважаемые сотрудники, информируем вас о проведении технических работ на нашем сервере с 10:00 до 14:00 01.03.2026. В этот период возможны временные перебои в работе некоторых сервисов. Приносим извинения за возможные неудобства и просим планировать ваши задачи с учётом этого уведомления.;Уведомление или информирование
В адрес вашего банка обращаемся с уведомлением об изменении порядка предоставления отчётности в Центральный банк РФ. С 01.04.2026 отчётность будет предоставляться в электронном виде через новую систему. Просим вас ознакомиться с изменениями и внести необходимые корректировки в ваши внутренние процессы.;Уведомление или информирование
Уважаемые клиенты, информируем вас о том, что с 01.05.2026 изменяется порядок начисления процентов по вкладам. Новые условия начисления процентов будут опубликованы на нашем сайте. Просим вас ознакомиться с изменениями и при необходимости скорректировать ваши финансовые планы.;Уведомление или информирование
Настоящим уведомляем вас о запуске нового мобильного приложения для управления вашими счетами. Приложение доступно для скачивания в App Store и Google Play с 01.06.2026. Просим вас ознакомиться с функционалом приложения и сообщить нам ваше мнение о его удобстве.;Уведомление или информирование
В адрес вашего Банка обращаемся с просьбой предоставить информацию о текущем состоянии кредитного договора № 12345 от 10.01.2023, включая текущий остаток задолженности и график платежей. Ожидаем ответ в течение 5 рабочих дней.;Запрос информации/документов
Просим предоставить выписку по операциям по расчётному счёту за период с 01.01.2024 по 31.03.2024, а также копию действующего регламента обслуживания корпоративных клиентов.;Запрос информации/документов
Настоящим обращаемся с просьбой предоставить детализацию операций по банковской карте за октябрь 2023 года. Будем признательны за предоставление информации в кратчайшие сроки.;Запрос информации/документов
Просим предоставить информацию о доступных дистанционных сервисах для юридических лиц, включая условия их использования и тарифы. Ожидаем ответ в течение 3 рабочих дней.;Запрос информации/документов
В связи с проверкой со стороны Центрального Банка РФ, просим предоставить копии всех внутренних регламентов, регулирующих обслуживание клиентов, а также информацию о сотрудниках, ответственных за соблюдение этих регламентов.;Запрос информации/документов
Просим предоставить информацию о порядке начисления процентов по депозитам физических лиц, включая формулы расчёта и примеры. Ожидаем ответ в течение 5 рабочих дней.;Запрос информации/документов
Просим предоставить информацию о требованиях к отчётности для банков, установленных Центральным Банком РФ, включая ссылки на соответствующие нормативные акты. Ожидаем ответ в течение 3 рабочих дней.;Запрос информации/документов
Просим предоставить информацию о порядке возврата средств при ошибочном переводе, включая сроки и условия возврата. Ожидаем ответ в течение 5 рабочих дней.;Запрос информации/документов
Просим предоставить информацию о тарифах и условиях обслуживания для индивидуальных предпринимателей, включая ссылки на соответствующие разделы на сайте Банка. Ожидаем ответ в течение 3 рабочих дней.;Запрос информации/документов
Просим предоставить информацию о порядке открытия и обслуживания расчётных счетов для юридических лиц, включая перечень необходимых документов и сроки рассмотрения заявок. Ожидаем ответ в течение 5 рабочих дней.;Запрос информации/документов
"Уважаемый Председатель Правления,

Настоящим обращаемся с претензией по факту неправомерного списания средств с корпоративного счёта нашей компании. Согласно договору РКО №БК-7890 от 10.04.2023, банк обязан уведомлять о списаниях. Однако 15.05.2023 средства были списаны без предварительного уведомления. Требуем немедленного разъяснения и возврата средств в течение 3 рабочих дней.

С уважением, [Название компании]";Официальная жалоба или претензия
"В адрес вашего Банка обращаемся с официальной претензией. 20.06.2023 при попытке совершить валютную операцию средства были заблокированы без объяснения причин. Согласно регламенту валютных операций, банк обязан информировать клиента о причинах блокировки. Требуем немедленного разъяснения и снятия блокировки в течение 24 часов.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
"Уважаемый банк,

Настоящим направляем официальную жалобу на неправомерное информирование по кредитному договору №БК-1234 от 01.01.2023. В ежемесячном отчёте указана неверная сумма платежа, что привело к просрочке. Согласно условиям договора, банк обязан предоставлять корректную информацию. Требуем немедленного исправления данных и информирования в течение 1 рабочего дня.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
"Уважаемые коллеги,

Обращаемся с претензией по факту двойного списания средств с нашего расчётного счёта. Согласно договору РКО №БК-5678 от 15.02.2023, банк обязан контролировать списания. Однако 25.03.2023 средства были списаны дважды. Требуем немедленного разъяснения и возврата излишне списанных средств в течение 3 рабочих дней.

С уважением, [Название компании]";Официальная жалоба или претензия
"В адрес вашего Банка обращаемся с официальной претензией. 10.04.2023 при попытке совершить платёж по зарплатному проекту средства были отклонены без объяснения причин. Согласно условиям договора, банк обязан информировать клиента о причинах отказа. Требуем немедленного разъяснения и выполнения операции в течение 24 часов.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
"Уважаемый банк,

Настоящим направляем официальную жалобу на неправомерное блокирование средств на нашем корпоративном счёте. Согласно договору РКО №БК-3456 от 01.03.2023, банк обязан информировать клиента о причинах блокировки. Однако 15.04.2023 средства были заблокированы без предварительного уведомления. Требуем немедленного разъяснения и снятия блокировки в течение 24 часов.

С уважением, [Название компании]";Официальная жалоба или претензия
"Уважаемые представители банка,

Обращаемся с претензией по факту неверного информирования по кредитному договору №БК-7890 от 10.04.2023. В ежемесячном отчёте указана неверная сумма задолженности, что привело к необоснованным штрафам. Согласно условиям договора, банк обязан предоставлять корректную информацию. Требуем немедленного исправления данных и информирования в течение 1 рабочего дня.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
"В адрес вашего Банка обращаемся с официальной претензией. 20.05.2023 при попытке совершить валютную операцию средства были заблокированы без объяснения причин. Согласно регламенту валютных операций, банк обязан информировать клиента о причинах блокировки. Требуем немедленного разъяснения и снятия блокировки в течение 24 часов.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
"Уважаемый банк,

Настоящим направляем официальную жалобу на неправомерное списание средств с нашего расчётного счёта. Согласно договору РКО №БК-5678 от 15.02.2023, банк обязан уведомлять о списаниях. Однако 25.03.2023 средства были списаны без предварительного уведомления. Требуем немедленного разъяснения и возврата средств в течение 3 рабочих дней.

С уважением, [Название компании]";Официальная жалоба или претензия
"В адрес вашего Банка обращаемся с официальной претензией. 10.04.2023 при попытке совершить платёж по зарплатному проекту средства были отклонены без объяснения причин. Согласно условиям договора, банк обязан информировать клиента о причинах отказа. Требуем немедленного разъяснения и выполнения операции в течение 24 часов.

С уважением, [ФИО клиента]";Официальная жалоба или претензия
